"station_a","station_b","distance","line","is_blocked","id","time"
"古城","八角游乐园","1921","1","0","1","184.36"
"八角游乐园","八宝山","1953","1","0","2","187.43"
"八宝山","玉泉路","1479","1","0","3","141.94"
"玉泉路","五棵松","1810","1","0","4","173.7"
"五棵松","万寿路","1778","1","0","5","170.63"
"万寿路","公主坟","1313","1","0","6","126.01"
"公主坟","军事博物馆","1172","1","0","7","112.48"
"军事博物馆","木樨地","1166","1","0","8","111.9"
"木樨地","南礼士路","1291","1","0","9","123.9"
"南礼士路","复兴门","424","1","0","10","40.69"
"复兴门","西单","1596","1","0","11","153.17"
"西单","天安门西","1217","1","0","12","116.79"
"天安门西","天安门东","925","1","0","13","88.77"
"天安门东","王府井","852","1","0","14","81.77"
"王府井","东单","774","1","0","15","74.28"
"东单","建国门","1230","1","0","17","118.04"
"建国门","永安里","1377","1","0","18","132.15"
"永安里","国贸","790","1","0","19","75.82"
"国贸","大望路","1385","1","0","20","132.92"
"大望路","四惠","1673","1","0","21","160.56"
"西直门","车公庄","910","2","0","40","81.9"
"车公庄","阜成门","960","2","0","41","86.4"
"阜成门","复兴门","1833","2","0","42","164.97"
"复兴门","长椿街","1234","2","0","43","111.06"
"长椿街","宣武门","929","2","0","44","83.61"
"宣武门","和平门","851","2","0","45","76.59"
"和平门","前门","1171","2","0","46","105.39"
"前门","崇文门","1634","2","0","47","147.06"
"崇文门","北京站","1023","2","0","48","92.07"
"北京站","建国门","946","2","0","49","85.14"
"建国门","朝阳门","1736","2","0","50","156.24"
"朝阳门","东四十条","1027","2","0","51","92.43"
"东四十条","东直门","824","2","0","52","74.16"
"东直门","雍和宫","2228","2","0","53","200.52"
"雍和宫","安定门","792","2","0","54","71.28"
"安定门","鼓楼大街","1237","2","0","55","111.33"
"鼓楼大街","积水潭","1766","2","0","56","158.94"
"安河桥北","北宫门","1363","4","0","57","109.04"
"北宫门","西苑","1251","4","0","58","100.08"
"西苑","圆明园","1672","4","0","59","133.76"
"圆明园","北京大学东门","1295","4","0","60","103.6"
"北京大学东门","中关村","887","4","0","61","70.96"
"中关村","海淀黄庄","900","4","0","62","72"
"海淀黄庄","人民大学","1063","4","0","63","85.04"
"人民大学","魏公村","1051","4","0","64","84.08"
"魏公村","国家图书馆","1658","4","0","65","132.64"
"国家图书馆","动物园","1517","4","0","66","121.36"
"动物园","西直门","1441","4","0","67","115.28"
"西直门","新街口","1025","4","0","68","82"
"新街口","平安里","1100","4","0","69","88"
"平安里","西四","1100","4","0","70","88"
"西四","灵境胡同","869","4","0","71","69.52"
"灵境胡同","西单","1011","4","0","72","80.88"
"西单","宣武门","815","4","0","73","65.2"
"宣武门","菜市口","1152","4","0","74","92.16"
"菜市口","陶然亭","1200","4","0","75","96"
"陶然亭","北京南站","1643","4","0","76","131.44"
"北京南站","马家堡","1480","4","0","77","118.4"
"马家堡","角门西","827","4","0","78","66.16"
"角门西","公益西桥","989","4","0","79","79.12"
"天通苑","天通苑北","941","5","0","80","84.69"
"天通苑南","天通苑","964","5","0","81","86.76"
"立水桥","天通苑南","1544","5","0","82","138.96"
"立水桥南","立水桥","1306","5","0","83","117.54"
"北苑路北","立水桥南","1330","5","0","84","119.7"
"大屯路东","北苑路北","2956","5","0","85","266.04"
"惠新西街北口","大屯路东","1838","5","0","86","165.42"
"惠新西街南口","惠新西街北口","1121","5","0","87","100.89"
"和平西桥","惠新西街南口","1026","5","0","88","92.34"
"和平里北街","和平西桥","1059","5","0","89","95.31"
"雍和宫","和平里北街","1151","5","0","90","103.59"
"北新桥","雍和宫","866","5","0","91","77.94"
"张自忠路","北新桥","791","5","0","92","71.19"
